date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:51	104961/104961	U-----	200	untouched ('')	image/png	etag:%22416dd6cf3c20d5187a6fefd7510d5aaf%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd7d904d992f911b78e6_image-3-team-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd7d904d992f911b78e6_image-3-team-esports-template.png	(from https://esportstemplate.webflow.io/about)
19:12:51	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:51%20GMT	https://esportstemplate.webflow.io/team/charles-miller	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/charles-miller	(from https://esportstemplate.webflow.io/team)
19:12:52	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/shop	D:/Websites/fragsyncop/esportstemplate.webflow.io/shop.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:52	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/team/john-carter	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/john-carter.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/utility-pages/style-guide	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/style-guide.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/utility-pages/start-here	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/start-here.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/blog	D:/Websites/fragsyncop/esportstemplate.webflow.io/blog.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/article/our-new-branded-headphones-are-now-for-sale	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/our-new-branded-headphones-are-now-for-sale.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/product/esports-team-shirt-black-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-shirt-black-line.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:52%20GMT	https://esportstemplate.webflow.io/contact	D:/Websites/fragsyncop/esportstemplate.webflow.io/contact.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/utility-pages/licenses	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/licenses.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/utility-pages/changelog	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/changelog.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/checkout	D:/Websites/fragsyncop/esportstemplate.webflow.io/checkout.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/article/the-best-keyboard-for-high-end-gaming	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/the-best-keyboard-for-high-end-gaming.html	(from https://esportstemplate.webflow.io/home)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/article/3-amazing-pc-brands-for-your-next-gaming-pc	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/3-amazing-pc-brands-for-your-next-gaming-pc.html	(from https://esportstemplate.webflow.io/home)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/article/new-dragon-esports-pc-merch-announced	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/new-dragon-esports-pc-merch-announced.html	(from https://esportstemplate.webflow.io/home)
19:12:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/article/2021-xbox-gold-tournament-date-announced	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/2021-xbox-gold-tournament-date-announced.html	(from https://esportstemplate.webflow.io/home)
19:12:54	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:53%20GMT	https://esportstemplate.webflow.io/product/esports-team-shirt-white-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-shirt-white-line.html	(from https://esportstemplate.webflow.io/home)
